Horizon,RMSE,Pearson_corr
t+1,0.20830214354136076,0.9807837744773393
t+2,0.39494740311438314,0.9228702382851627
t+3,0.5674793102313243,0.8264684763514724
t+4,0.7012653967406722,0.7090011447850625
t+5,0.7888330710929895,0.6120884614369215
t+6,0.8648546665321175,0.5033933166859728
