year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1980,6,0.5645514223194749,0.5075921908893709,0.4927536231884058,-0.06,-0.38,-0.28,-0.26,-0.1,0.05
1998,4,0.6892778993435449,0.7809110629067246,0.9275362318840579,0.57,-0.39,-0.99,-1.28,-1.26,-1.46
2010,7,0.2844638949671773,0.3405639913232104,0.4616977225672878,-1.39,-1.6,-1.69,-1.64,-1.6,-1.54
1995,2,0.6783369803063458,0.7114967462039046,0.7660455486542443,0.46,0.28,-0.11,-0.14,-0.21,-0.63
1989,9,0.4529540481400438,0.3752711496746204,0.3892339544513458,-0.4,-0.45,-0.13,0.01,0.21,0.04
1979,6,0.45514223194748366,0.4360086767895879,0.5113871635610766,-0.47,-0.1,0.28,0.11,0.29,0.52
1970,9,0.2844638949671773,0.21691973969631234,0.28364389233954457,-1.12,-1.13,-1.33,-1.73,-1.57,-1.36
1980,2,0.5667396061269148,0.6073752711496747,0.6149068322981367,0.03,-0.07,0.08,0.21,-0.06,-0.38
2004,6,0.5470459518599563,0.5032537960954447,0.5217391304347826,0.49,0.76,0.81,0.73,0.66,0.74
1976,7,0.48358862144420134,0.4078091106290672,0.3540372670807454,0.12,0.3,0.75,0.71,0.49,0.78
1988,5,0.24507658643326047,0.3947939262472885,0.5279503105590062,-1.74,-1.74,-1.19,-1.0,-1.9,-2.05
1950,7,0.29759299781181625,0.2147505422993492,0.14492753623188415,-0.97,-0.98,-1.03,-1.23,-1.31,-1.3
1955,4,0.25164113785557995,0.26030368763557477,0.31055900621118016,-1.28,-1.18,-1.15,-1.35,-1.43,-2.31
1989,4,0.2822757111597375,0.22776572668112793,0.20289855072463775,-0.88,-0.59,-0.57,-0.53,-0.3,-0.4
2007,10,0.21444201312910294,0.24945770065075917,0.3581780538302278,-1.54,-1.58,-1.68,-1.67,-1.21,-0.99
1990,4,0.5361050328227571,0.49891540130151846,0.5507246376811594,0.08,-0.08,0.09,0.22,0.22,0.21
1985,4,0.26039387308533923,0.3188720173535792,0.3581780538302278,-1.03,-0.91,-0.74,-0.56,-0.7,-0.49
1991,1,0.62582056892779,0.5661605206073753,0.5279503105590062,0.32,0.03,0.19,0.26,0.52,0.76
2008,12,0.33041575492341363,0.39045553145336226,0.4347826086956522,-0.89,-0.79,-0.69,-0.35,0.06,0.31
1956,8,0.2625820568927791,0.26030368763557477,0.31677018633540377,-0.98,-0.97,-1.14,-0.89,-0.51,-0.22
1958,7,0.525164113785558,0.5466377440347072,0.5859213250517599,-0.01,-0.32,-0.27,0.05,0.02,0.53
1973,10,0.08533916849015322,0.13015184381778738,0.16977225672877855,-2.37,-2.26,-2.09,-1.66,-1.45,-1.36
1971,6,0.27133479212253836,0.2776572668112798,0.2629399585921326,-1.17,-1.1,-1.0,-1.24,-1.15,-1.23
1963,12,0.7417943107221008,0.6572668112798266,0.639751552795031,0.79,0.38,-0.26,-0.87,-1.12,-1.14
1965,2,0.39606126914660833,0.2971800433839479,0.22360248447204972,-0.34,-0.44,0.06,0.36,0.61,1.12
2009,12,0.899343544857768,0.8069414316702821,0.6915113871635611,1.52,1.25,0.9,0.38,-0.22,-0.69
1985,11,0.43763676148796504,0.3839479392624729,0.3623188405797102,-0.41,-0.66,-0.71,-0.42,-0.33,-0.53
1991,7,0.6849015317286653,0.6030368763557484,0.5610766045548654,0.68,0.42,0.86,1.2,1.69,1.84
1995,5,0.49452954048140046,0.5509761388286334,0.6024844720496895,-0.14,-0.21,-0.63,-0.84,-0.88,-1.1
1954,12,0.22757111597374186,0.24511930585683298,0.20082815734989656,-0.93,-0.95,-1.06,-1.22,-1.28,-1.18
1982,4,0.5645514223194749,0.5184381778741866,0.4720496894409938,0.45,0.53,0.37,0.73,1.49,1.99
1956,1,0.2560175054704596,0.049891540130151846,0.0,-0.99,-0.83,-0.97,-0.8,-0.92,-1.06
1969,3,0.6367614879649891,0.7310195227765728,0.7039337474120083,0.31,0.35,-0.04,-0.21,0.16,0.43
1954,7,0.26039387308533923,0.2885032537960954,0.339544513457557,-1.43,-1.6,-1.48,-1.13,-1.33,-0.93
1984,12,0.225382932166302,0.23210412147505421,0.3685300207039338,-1.16,-0.72,-0.79,-1.18,-1.03,-0.91
2008,2,0.15317286652078782,0.12581344902386116,0.18012422360248453,-1.21,-0.99,-0.84,-0.68,-0.3,-0.13
2000,7,0.3719912472647703,0.3188720173535792,0.329192546583851,-0.49,-0.52,-0.7,-0.79,-0.92,-0.73
1959,2,0.6126914660831511,0.6052060737527115,0.5113871635610766,0.19,0.06,-0.23,-0.35,-0.86,-0.77
1952,1,0.5470459518599563,0.5574837310195228,0.6211180124223603,-0.01,-0.11,-0.02,-0.14,-0.54,-0.76
1954,1,0.6126914660831511,0.579175704989154,0.5445134575569358,0.28,-0.38,-1.17,-0.81,-0.93,-1.18
1975,6,0.19037199124726484,0.24511930585683298,0.30848861283643897,-1.39,-1.52,-1.66,-1.83,-1.66,-1.93
1997,2,0.43763676148796504,0.3752711496746204,0.37474120082815743,-0.25,0.16,0.64,1.09,1.56,1.89
1992,3,0.8205689277899344,0.876355748373102,0.8881987577639752,1.2,1.04,0.58,0.22,0.05,-0.06
1995,3,0.6192560175054705,0.648590021691974,0.7184265010351967,0.28,-0.11,-0.14,-0.21,-0.63,-0.84
1953,5,0.5951859956236324,0.5379609544468547,0.567287784679089,0.39,0.14,0.09,0.29,0.16,0.18
1951,4,0.4682713347921226,0.4078091106290672,0.29192546583850937,-0.01,0.0,0.3,0.17,0.51,0.49
1961,12,0.38074398249452956,0.35357917570498915,0.2981366459627329,-0.59,-0.57,-0.48,-0.69,-0.89,-0.65
1962,11,0.3107221006564552,0.3275488069414316,0.3457556935817806,-0.93,-0.78,-0.53,-0.1,-0.03,-0.3
1990,7,0.538293216630197,0.47288503253796094,0.5238095238095238,0.22,0.22,0.21,0.1,0.35,0.49
1966,5,0.4354485776805252,0.5661605206073753,0.6997929606625259,-0.08,0.04,-0.37,-0.44,-0.5,-0.47
1987,2,0.7658643326039387,0.737527114967462,0.7391304347826088,0.98,0.58,0.62,0.92,1.29,1.57
1974,11,0.28008752735229764,0.28633405639913234,0.37474120082815743,-0.97,-0.45,-0.68,-1.09,-0.96,-1.13
1958,12,0.5229759299781183,0.5010845986984815,0.4513457556935818,0.53,0.43,0.19,0.06,-0.23,-0.35
1976,8,0.5448577680525165,0.455531453362256,0.4285714285714286,0.3,0.75,0.71,0.49,0.78,0.37
1960,12,0.4354485776805252,0.3926247288503254,0.4057971014492754,-0.31,-0.19,-0.35,-0.46,-0.18,-0.06
1981,7,0.3785557986870898,0.39045553145336226,0.3892339544513458,-0.53,-0.19,-0.3,-0.41,-0.2,0.13
1952,8,0.39606126914660833,0.32537960954446854,0.3954451345755694,-0.36,-0.46,-0.78,-0.39,0.2,0.24
1950,8,0.30634573304157553,0.2711496746203904,0.24430641821946175,-0.98,-1.03,-1.23,-1.31,-1.3,-1.04
2000,1,0.13129102844638957,0.11279826464208237,0.18012422360248453,-1.55,-0.98,-0.87,-0.86,-0.79,-0.67
1968,3,0.3107221006564552,0.2581344902386117,0.3312629399585922,-0.72,-0.75,0.15,0.28,0.16,0.01
1974,7,0.3216630196936543,0.22993492407809107,0.24016563146997932,-0.52,-0.64,-0.94,-1.09,-0.97,-0.45
1998,5,0.6433260393873086,0.6594360086767896,0.7846790890269151,-0.39,-0.99,-1.28,-1.26,-1.46,-1.46
2006,11,0.7352297592997812,0.6420824295010846,0.6314699792960663,1.14,0.7,0.13,-0.18,-0.32,-0.47
1985,8,0.39606126914660833,0.32971800433839477,0.31884057971014496,-0.7,-0.49,-0.37,-0.41,-0.66,-0.71
1954,3,0.4354485776805252,0.5509761388286334,0.5962732919254659,-1.17,-0.81,-0.93,-1.18,-1.43,-1.6
1999,1,0.14879649890590818,0.12364425162689802,0.20496894409937894,-1.32,-0.95,-1.11,-1.15,-1.19,-1.17
1984,4,0.3698030634573305,0.37744034707158347,0.4679089026915114,-0.73,-0.9,-0.5,-0.24,-0.34,-0.67
1957,3,0.5579868708971554,0.44251626898047725,0.401656314699793,0.41,0.62,0.63,0.87,0.84,0.72
1977,3,0.5601750547045953,0.5704989154013016,0.6687370600414079,-0.38,-0.21,0.01,0.09,-0.01,0.4
1999,3,0.3107221006564552,0.20390455531453355,0.15734989648033132,-1.11,-1.15,-1.19,-1.17,-1.22,-1.09
1980,3,0.525164113785558,0.5379609544468547,0.6190476190476191,-0.07,0.08,0.21,-0.06,-0.38,-0.28
1991,8,0.6673960612691466,0.6550976138828634,0.6149068322981367,0.42,0.86,1.2,1.69,1.84,1.78
2006,2,0.3719912472647703,0.29284164859002165,0.31677018633540377,-0.71,-0.32,-0.09,0.0,0.01,0.31
1955,7,0.2669584245076587,0.23427331887201736,0.24223602484472057,-1.35,-1.43,-2.31,-2.45,-2.03,-1.2
1965,4,0.4223194748358863,0.4164859002169197,0.391304347826087,0.06,0.36,0.61,1.12,1.29,1.45
