Horizon,RMSE_TaskA,Corr_TaskA,RMSE_TaskB,Corr_TaskB,RMSE_TaskB_Weighted,Corr_TaskB_Weighted
t+1,0.2007872490035844,0.9803057589949516,0.2083021435413607,0.9807837744773392,0.2047048021574382,0.9787937770260025
t+2,0.3619516530259802,0.923212424655193,0.3949474031143831,0.9228702382851628,0.3919435363423832,0.9208419657362856
t+3,0.541417226796649,0.8208884107691263,0.5674793102313243,0.8264684763514724,0.554448751106578,0.8284425783579756
t+4,0.7489796473934882,0.6066866173541654,0.7012653967406722,0.7090011447850625,0.6964000835544544,0.7081151063236157
t+5,0.7944787157806393,0.611972148169169,0.7888330710929895,0.6120884614369215,0.7912119040580617,0.6052059170888048
t+6,0.867236392832918,0.5245728229878314,0.8648546665321175,0.5033933166859728,0.8516994307945591,0.517675946300078
