year,month,nino_t,nino_tminus1,nino_tminus2,nino_tplus1,nino_tplus2,nino_tplus3,nino_tplus4,nino_tplus5,nino_tplus6
1950,6,0.24070021881838077,0.11062906724511928,0.18840579710144933,-1.01,-0.97,-0.98,-1.03,-1.23,-1.31
1963,6,0.49452954048140046,0.42516268980477223,0.5010351966873706,0.49,0.62,0.68,0.64,0.77,1.02
1952,5,0.48796498905908103,0.4859002169197397,0.484472049689441,-0.54,-0.76,-0.56,-0.36,-0.46,-0.78
1956,5,0.34354485776805255,0.2798264642082429,0.3354037267080746,-0.92,-1.06,-1.17,-0.98,-0.97,-1.14
1990,3,0.5273522975929978,0.5357917570498916,0.5093167701863355,0.08,0.08,-0.08,0.09,0.22,0.22
1984,1,0.3719912472647703,0.2668112798264642,0.24016563146997932,-0.19,-0.52,-0.68,-0.73,-0.9,-0.5
1976,2,0.24288840262582062,0.05422993492407807,0.10766045548654252,-0.82,-0.93,-0.74,-0.38,-0.16,0.12
1960,6,0.41137855579868715,0.4360086767895879,0.4389233954451346,-0.41,-0.15,-0.28,-0.49,-0.45,-0.38
1995,6,0.48796498905908103,0.46637744034707157,0.5652173913043479,-0.21,-0.63,-0.84,-0.88,-1.1,-0.95
1962,10,0.35448577680525173,0.32104121475054226,0.3975155279503106,-0.95,-0.93,-0.78,-0.53,-0.1,-0.03
1977,9,0.6061269146608316,0.4880694143167028,0.5258799171842651,0.63,0.48,0.7,0.62,0.25,-0.2
1961,2,0.4770240700218819,0.4229934924078091,0.4285714285714286,-0.35,-0.46,-0.18,-0.06,-0.41,-0.67
2009,8,0.6411378555798688,0.5943600867678959,0.5714285714285714,0.68,0.89,1.46,1.74,1.52,1.25
1969,5,0.5951859956236324,0.5574837310195228,0.6190476190476191,-0.04,-0.21,0.16,0.43,0.62,0.4
1975,3,0.28008752735229764,0.3427331887201735,0.4140786749482402,-0.96,-1.13,-1.5,-1.39,-1.52,-1.66
1978,5,0.3566739606126915,0.3383947939262473,0.46583850931677023,-0.71,-0.55,-0.79,-0.71,-0.46,-0.38
2004,5,0.5317286652078775,0.5054229934924078,0.5320910973084887,0.13,0.49,0.76,0.81,0.73,0.66
1978,1,0.6542669584245078,0.6420824295010846,0.6066252587991718,0.25,-0.2,-0.7,-0.74,-0.71,-0.55
1999,2,0.22975929978118165,0.12364425162689802,0.15734989648033132,-0.95,-1.11,-1.15,-1.19,-1.17,-1.22
1964,7,0.3085339168490154,0.24295010845986983,0.2753623188405797,-1.26,-1.4,-1.35,-1.44,-1.37,-0.89
1974,9,0.3785557986870898,0.37744034707158347,0.32091097308488614,-0.94,-1.09,-0.97,-0.45,-0.68,-1.09
2005,3,0.6170678336980306,0.5683297180043384,0.6438923395445135,0.26,0.3,0.04,-0.23,-0.05,-0.04
1967,10,0.3566739606126915,0.3036876355748373,0.4202898550724638,-0.62,-0.65,-0.85,-1.07,-0.95,-0.72
2001,12,0.42888402625820576,0.40997830802603036,0.4782608695652174,-0.15,-0.04,0.01,0.02,0.31,0.72
1989,1,0.08752735229759306,0.06507592190889366,0.08281573498964812,-1.47,-1.21,-1.08,-0.88,-0.59,-0.57
1978,10,0.4179431072210066,0.3362255965292842,0.34368530020703936,-0.38,-0.06,-0.13,-0.22,-0.02,0.02
1967,4,0.2822757111597375,0.32104121475054226,0.37474120082815743,-0.59,-0.26,-0.33,-0.42,-0.86,-0.74
1956,3,0.3369803063457331,0.2754880694143167,0.25879917184265017,-0.97,-0.8,-0.92,-1.06,-1.17,-0.98
2000,9,0.40481400437636766,0.3839479392624729,0.3685300207039338,-0.7,-0.79,-0.92,-0.73,-0.63,-0.48
1956,9,0.30415754923413574,0.23644251626898044,0.28778467908902694,-0.97,-1.14,-0.89,-0.51,-0.22,0.18
1958,9,0.44857768052516417,0.4880694143167028,0.5134575569358178,-0.27,0.05,0.02,0.53,0.43,0.19
1966,10,0.4091903719912473,0.3947939262472885,0.43064182194616984,-0.47,-0.57,-0.67,-0.64,-0.78,-1.08
1974,8,0.40481400437636766,0.2950108459869848,0.25879917184265017,-0.64,-0.94,-1.09,-0.97,-0.45,-0.68
1967,8,0.4266958424507659,0.41865509761388287,0.453416149068323,-0.86,-0.74,-0.62,-0.65,-0.85,-1.07
1968,7,0.5798687089715536,0.5227765726681128,0.3519668737060042,0.16,0.01,0.04,0.5,0.67,0.95
1999,6,0.2582056892778994,0.24078091106290672,0.27743271221532095,-1.17,-1.22,-1.09,-1.23,-1.58,-1.74
1958,2,0.8446389496717726,0.876355748373102,0.7763975155279503,0.98,0.46,0.38,0.26,0.03,-0.01
2000,10,0.3654266958424508,0.37744034707158347,0.4057971014492754,-0.79,-0.92,-0.73,-0.63,-0.48,-0.49
1952,6,0.400437636761488,0.4598698481561822,0.5031055900621119,-0.76,-0.56,-0.36,-0.46,-0.78,-0.39
2000,2,0.1794310722100657,0.106290672451193,0.14699792960662533,-0.98,-0.87,-0.86,-0.79,-0.67,-0.49
1961,5,0.4792122538293217,0.39045553145336226,0.4347826086956522,-0.06,-0.41,-0.67,-0.94,-1.01,-0.63
2008,1,0.15098468271334797,0.14750542299349234,0.18840579710144933,-1.67,-1.21,-0.99,-0.84,-0.68,-0.3
1970,7,0.2822757111597375,0.3405639913232104,0.4451345755693582,-1.26,-1.07,-1.12,-1.13,-1.33,-1.73
1968,8,0.5536105032822758,0.5509761388286334,0.5383022774327122,0.01,0.04,0.5,0.67,0.95,1.11
1958,6,0.575492341356674,0.5726681127982647,0.6024844720496895,0.03,-0.01,-0.32,-0.27,0.05,0.02
1967,3,0.34792122538293224,0.351409978308026,0.3685300207039338,-1.08,-0.59,-0.26,-0.33,-0.42,-0.86
1959,6,0.4420131291028447,0.4403470715835141,0.5196687370600415,-0.86,-0.77,-0.8,-0.48,-0.66,-0.42
1987,11,0.7527352297592999,0.7592190889370933,0.8488612836438924,0.94,0.9,0.28,0.1,-0.44,-1.25
2005,9,0.5098468271334793,0.47939262472885036,0.4596273291925466,-0.06,-0.59,-0.92,-0.91,-0.67,-0.71
1952,7,0.3522975929978118,0.37310195227765725,0.4782608695652174,-0.56,-0.36,-0.46,-0.78,-0.39,0.2
1992,2,0.9080962800875274,0.8893709327548808,0.8571428571428572,1.38,1.2,1.04,0.58,0.22,0.05
2000,4,0.3282275711159738,0.2776572668112798,0.18633540372670815,-0.86,-0.79,-0.67,-0.49,-0.52,-0.7
1977,4,0.4354485776805252,0.5314533622559653,0.5838509316770186,-0.21,0.01,0.09,-0.01,0.4,0.63
1951,2,0.29102844638949676,0.20824295010845983,0.23602484472049695,-0.38,-0.23,-0.01,0.0,0.3,0.17
1981,1,0.4398249452954049,0.5010845986984815,0.4865424430641822,-0.64,-0.64,-0.53,-0.57,-0.46,-0.64
1981,12,0.47483588621444206,0.40130151843817785,0.4451345755693582,0.13,-0.17,0.13,0.21,0.45,0.53
1966,12,0.39387308533916854,0.3882863340563991,0.4037267080745342,-0.67,-0.64,-0.78,-1.08,-0.59,-0.26
1950,11,0.2494529540481401,0.2668112798264642,0.30434782608695654,-1.31,-1.3,-1.04,-0.38,-0.23,-0.01
1994,8,0.6345733041575493,0.5422993492407809,0.5734989648033126,0.48,0.75,1.11,1.25,1.02,0.73
1963,7,0.62582056892779,0.46637744034707157,0.4451345755693582,0.62,0.68,0.64,0.77,1.02,0.79
1964,3,0.4617067833698031,0.5726681127982647,0.6708074534161491,-0.87,-1.12,-1.14,-0.96,-1.26,-1.4
1998,7,0.3019693654266959,0.40563991323210413,0.6252587991718427,-1.28,-1.26,-1.46,-1.46,-1.69,-1.69
1973,12,0.024070021881838155,-0.023861171366594436,0.09730848861283653,-2.09,-1.66,-1.45,-1.36,-1.29,-1.2
2001,5,0.44420131291028453,0.3839479392624729,0.40786749482401663,-0.19,-0.04,-0.05,-0.2,-0.14,-0.37
1994,1,0.5404814004376368,0.5249457700650759,0.5072463768115942,0.06,0.11,0.26,0.31,0.32,0.24
1971,3,0.22100656455142237,0.14967462039045548,0.14906832298136652,-1.18,-0.98,-1.13,-1.17,-1.1,-1.0
1966,2,0.6936542669584246,0.7331887201735359,0.7888198757763976,0.93,0.35,-0.38,-0.08,0.04,-0.37
1951,8,0.5557986870897156,0.5553145336225597,0.5072463768115942,0.51,0.49,0.55,0.31,0.13,-0.01
2000,12,0.31728665207877466,0.3188720173535792,0.3623188405797102,-0.73,-0.63,-0.48,-0.49,-0.34,-0.19
1982,1,0.5470459518599563,0.44685466377440347,0.422360248447205,-0.17,0.13,0.21,0.45,0.53,0.37
1998,6,0.4332603938730854,0.613882863340564,0.6687370600414079,-0.99,-1.28,-1.26,-1.46,-1.46,-1.69
1990,10,0.5645514223194749,0.5379609544468547,0.5527950310559007,0.1,0.35,0.49,0.32,0.03,0.19
2010,5,0.4704595185995624,0.5726681127982647,0.6935817805383023,-0.69,-1.07,-1.39,-1.6,-1.69,-1.64
1968,5,0.35448577680525173,0.334056399132321,0.31055900621118016,0.15,0.28,0.16,0.01,0.04,0.5
