Horizon,RMSE,Pearson_corr
t+1,0.20470480215743822,0.9787937770260023
t+2,0.39194353634238327,0.9208419657362855
t+3,0.554448751106578,0.8284425783579756
t+4,0.6964000835544544,0.7081151063236157
t+5,0.7912119040580617,0.6052059170888048
t+6,0.8516994307945591,0.517675946300078
